,0
Losing,1
Content,1
Wretched,2
Rearing,1
Upright,1
Piteous,1
Patiently,2
Chose,2
Yawned,2
Crawled,1
Merely,2
Taller,2
Shorter,2
Thoughtfully,4
Difficult,2
Broke,2
Nibbled,2
Violent,2
Blow,2
Closely,1
Swallow,1
Morsel,1
Lefthand,2
Free,3
Alarm,2
Immense,1
Length,1
Rise,1
Stalk,1
Green,4
Result,1
Follow,2
Shaking,3
Distant,2
Serpent,9
Succeeded,3
Curving,1
Graceful,1
Zigzag,1
Dive,1
Tops,1
Wandering,2
Hiss,1
Draw,7
Pigeon,12
Flown,1
Beating,2
Wings,1
Screamed,4
Indignantly,4
Repeated,10
Subdued,1
Sob,1
Roots,2
Banks,1
Hedges,1
Serpents,3
Pleasing,1
Puzzled,9
Hatching,1
Eggs,5
Sleep,6
Weeks,1
Sorry,1
Annoyed,1
Taken,4
Highest,1
Tree,9
Raising,1
Needs,1
Wriggling,1
Invent,1
Doubtfully,2
Changes,2
Deepest,1
Contempt,1
Girls,3
Denying,1
Telling,2
Tasted,3
Egg,1
Truthful,1
Silent,7
Adding,1
Matters,2
Yours,3
Raw,1
Settled,3
Nest,1
Crouched,1
Entangled,2
Branches,2
Untwist,1
Pieces,3
Nibbling,3
Bringing,3
Beautiful,13
Whoever,1
Lives,4
Frighten,1
Wits,1
Righthand,1
Footman,14
Livery,3
Considered,3
Otherwise,4
Judging,1
Fish,8
Rapped,1
Loudly,3
Knuckles,1
Footmen,1
Powdered,1
Crept,1
Producing,1
Letter,3
Invitation,2
Queen,74
Order,3
Curls,1
Laughed,2
Ground,7
Staring,3
Stupidly,1
Knocked,1
Reasons,1
Secondly,2
Inside,2
Extraordinary,2
Within,2
Constant,2
Howling,3
Sneezing,6
Dish,4
Kettle,1
Between,6
Instance,3
Knock,1
Uncivil,1
Remarked,10
Tomorrow,1
Skimming,1
Grazed,1
Maybe,2
Louder,1
Told,6
Dreadful,2
Muttered,2
Argue,1
Drive,2
Crazy,1
Repeating,3
Remark,10
Variations,1
Days,4
Whistling,1
Desperately,1
Idiotic,1
Kitchen,4
Smoke,1
Stool,1
Nursing,3
Baby,14
Cook,13
Leaning,2
Stirring,2
Cauldron,2
Soup,18
Pepper,7
Sneezed,1
Occasionally,1
Alternately,1
Pause,2
Sneeze,2
Hearth,1
Grinning,1
Ear,6
Manners,1
Grins,1
Cheshire,7
Pig,10
Violence,1
Courage,3
Grinned,3
Pleased,7
Introduce,2
Fix,1
Throwing,2
Irons,1
Saucepans,1
Plates,2
Dishes,2
Already,2
Blows,1
Jumping,4
Agony,1
Terror,1
Precious,1
Unusually,1
Saucepan,1
Flew,1
Carried,4
Minded,1
Growl,3
Faster,3
Advantage,3
Takes,2
Hours,4
Axis,1
Axes,1
Chop,1
Glanced,1
Meant,5
Hint,2
Busily,4
Bother,1
Abide,1
Figures,1
Singing,2
Lullaby,1
Shake,1
Line,2
Roughly,1
Boy,3
Beat,4
Sneezes,2
Annoy,1
Teases,1
Wow,6
Sang,2
Verse,4
Song,7
Tossing,3
Howled,1
Thoroughly,2
Enjoy,1
Pleases,1
Flinging,1
Threw,2
Frying,1
Pan,1
Missed,2
Caught,3
Shaped,3
Creature,4
Star,1
Snorting,1
Steam,1
Engine,1
Doubling,1
Straightening,1
Proper,3
Twist,2
Tight,1
Prevent,1
Undoing,1
Kill,1
Murder,1
Grunted,4
Grunt,1
Expressing,1
Snout,1
Also,2
Extremely,2
Sobbing,3
Seriously,1
Sobbed,1
Neither,2
Less,4
Carry,1
Relieved,1
Trot,1
Dreadfully,6
Ugly,2
Handsome,1
Startled,2
Seeing,1
Bough,1
Yards,1
Natured,1
Teeth,1
Treated,1
Respect,1
Puss,1
Wider,1
Depends,1
Explanation,2
Denied,2
Waving,5
Hatter,56
March,34
Hare,31
Visit,1
Mad,14
Grant,1
Growls,1
Wags,1
Wag,1
Therefore,1
Growling,1
Invited,2
Happening,1
Became,2
Appear,2
Hatters,1
Raving,2
Branch,1
Fig,1
Appearing,1
Vanishing,1
Giddy,2
Ending,2
Farther,1
Chimneys,1
Thatched,1
Raised,2
Towards,1
Instead,3
Front,2
Dormouse,40
Fast,4
Asleep,8
Using,2
Cushion,2
Resting,2
Elbows,1
Chair,1
Wine,2
Civil,3
Laid,2
Wants,2
Cutting,1
Personal,2
Severity,1
Rude,2
Wide,2
Raven,1
Writing,6
Desk,1
Fun,3
Riddles,2
Breathe,3
Ravens,1
Desks,1
Break,2
Month,2
Uneasily,2
Fourth,1
Butter,9
Works,1
Meekly,2
Crumbs,4
Grumbled,1
Bread,7
Gloomily,1
Cup,2
Shoulder,4
Tells,2
Clock,5
Year,2
Readily,1
Stays,1
Poured,1
Riddle,1
Slightest,1
Wearily,1
Waste,1
Answers,1
Wasting,1
Cautiously,3
Music,3
Accounts,1
Terms,1
Twinkling,4
Mournfully,1
Quarrelled,1
Spoon,2
Concert,2
Given,1
Hearts,8
Sing,6
Twinkle,8
Fly,3
Tray,1
Pinch,2
Bawled,1
Murdering,1
Exclaimed,6
Mournful,1
Sigh,4
Wash,2
Whiles,1
Interrupted,9
Yawning,2
Vote,1
Lady,3
Alarmed,1
Proposal,1
Wake,2
Pinched,2
Fellows,1
Sisters,2
Names,2
Elsie,1
Lacie,1
Tillie,1
Lived,3
Bottom,4
Interest,1
Eating,1
Drinking,1
Treacle,7
Ill,2
Ways,1
Living,2
Opinion,1
Triumphantly,2
Helped,1
Sh,2
Sulkily,2
Interrupt,1
Consented,1
Learning,2
Promise,1
Clean,1
Unwillingly,1
Upset,3
Jug,1
Offend,1
Eh,1
Choosing,1
Interrupting,2
Rubbing,2
Manner,2
Begins,4
Closed,2
Doze,1
Woke,1
Traps,1
Moon,1
Memory,1
Muchness,3
Drawing,1
Rudeness,1
